name,molweight,boiling point (K),type
"1,1,1-trichlorooctadecane",357.834,656.15,hydrocarbon
"1,1,1-trichlorooctane",217.5652,497.15,hydrocarbon
"1,1,1-trichloropentadecane",315.75336,616.15,hydrocarbon
"1,1,1-trichloropentane",175.48456,430.15,hydrocarbon
"1,1,1-trichloropropane",147.4308,379.15,hydrocarbon
"1,1,1-trichlorotetradecane",301.72648,601.15,hydrocarbon
"1,1,1-trichlorotridecane",287.6996,586.15,hydrocarbon
"1,1,1-trichloroundecane",259.64584,553.15,hydrocarbon
"1,1,1-trifluoro-2-methylpropane",112.0947896,285.06,hydrocarbon
"1,1,1-trifluorobutane",112.0947896,289.85,hydrocarbon
"1,1,1-trifluorodecane",196.2560696,442.15,hydrocarbon
"1,1,1-trifluorododecane",224.3098296,481.15,hydrocarbon
"1,1,1-trifluoroeicosane",336.5248696,597.15,hydrocarbon
"1,1,1-trifluoroethane",84.0410296,225.81,hydrocarbon
"1,1,1-trifluoroheptadecane",294.4442296,560.15,hydrocarbon
"1,1,1-trifluoroheptane",154.1754296,374.15,hydrocarbon
"1,1,1-trifluorohexadecane",280.4173496,545.15,hydrocarbon
"1,1,1-trifluorohexane",140.1485496,348.15,hydrocarbon
"1,1,1-trifluorononadecane",322.4979896,585.15,hydrocarbon
"1,1,1-trifluorononane",182.2291896,421.15,hydrocarbon
"1,1,1-trifluorooctadecane",308.4711096,569.15,hydrocarbon
"1,1,1-trifluorooctane",168.2023096,398.15,hydrocarbon
"1,1,1-trifluoropentadecane",266.3904696,530.15,hydrocarbon
"1,1,1-trifluoropentane",126.1216696,320.15,hydrocarbon
"1,1,1-trifluoropropane",98.0679096,260.15,hydrocarbon
"1,1,1-trifluorotetradecane",252.3635896,515.15,hydrocarbon
"1,1,1-trifluorotridecane",238.3367096,498.15,hydrocarbon
"1,1,1-trifluoroundecane",210.2829496,462.15,hydrocarbon
"1,1,1-triiodo-2-methylpropane",435.81299,566.67,hydrocarbon
"1,1,1-triiodobutane",435.81299,567.11,hydrocarbon
"1,1,1-triiododecane",519.97427,704.39,hydrocarbon
"1,1,1-triiodododecane",548.02803,750.15,hydrocarbon
"1,1,1-triiodoethane",407.75923,521.35,hydrocarbon
"1,1,1-triiodoheptane",477.89363,635.75,hydrocarbon
"1,1,1-triiodohexane",463.86675,612.87,hydrocarbon
"1,1,1-triiodononane",505.94739,681.51,hydrocarbon
"1,1,1-triiodooctane",491.92051,658.63,hydrocarbon
"1,1,1-triiodopentane",449.83987,589.99,hydrocarbon
"1,1,1-triiodopropane",421.78611,544.23,hydrocarbon
"1,1,1-triiodotetradecane",576.08179,795.91,hydrocarbon
"1,1,1-triiodotridecane",562.05491,773.03,hydrocarbon
"1,1,1-triiodoundecane",534.00115,727.27,hydrocarbon
"1,1,2,2,3,3-hexafluoropropane",152.0392992,283.15,hydrocarbon
"1,1,2,2,3-pentafluoropropane",134.048836,299.15,hydrocarbon
"1,1,2,2-tetrabromoethane",345.65388,516.65,hydrocarbon
"1,1,2,2-tetrabromopropane",359.68076,508.15,hydrocarbon
"1,1,2,2-tetrachloro-1,2-difluoroethane",203.8296064,366,hydrocarbon
"1,1,2,2-tetrachloro-1-fluoroethane",185.8391432,389.75,hydrocarbon
"1,1,2,2-tetrachloroethane",167.84868,418.25,hydrocarbon
"1,1,2,2-tetrachloropropane",181.87556,428.15,hydrocarbon
"1,1,2,2-tetrafluoroethane",102.0314928,250.15,hydrocarbon
"1,1,2,2-tetrafluoropropane",116.0583728,300,hydrocarbon
"1,1,2,2-tetraiodoethane",533.65576,619.12,hydrocarbon
"1,1,2,2-tetraiodopropane",547.68264,636.93,hydrocarbon
"1,1,2,2-tetramethylcyclopentane",126.24192,406.15,hydrocarbon
"1,1,2,2-tetraphenylethane",334.46068,633.15,hydrocarbon
"1,1,2,3,3,4,4,4-octafluoro-1-butene",200.0312256,277,hydrocarbon
"1,1,2,3,3-pentafluoropropane",134.048836,300,hydrocarbon
"1,1,2,3-tetrabromopropane",359.68076,538.15,hydrocarbon
"1,1,2,3-tetrachloropropane",181.87556,451.15,hydrocarbon
"1,1,2,3-tetrafluoropropane",116.0583728,300,hydrocarbon
"1,1,2,3-tetraiodopropane",547.68264,639.72,hydrocarbon
"1,1,2-tribromo-2-methylpropane",294.81158,503.15,hydrocarbon
"1,1,2-tribromobutane",294.81158,489.35,hydrocarbon
"1,1,2-tribromoethane",266.75782,462.08,hydrocarbon
"1,1,2-tribromopropane",280.7847,474.15,hydrocarbon
"1,1,2-trichloro-1,2,2-trifluoroethane",187.3753096,320.75,hydrocarbon
"1,1,2-trichloro-1,2-difluoroethane",169.3848464,345.65,hydrocarbon
"1,1,2-trichloro-1-fluoroethane",151.3943832,361.15,hydrocarbon
"1,1,2-trichloro-2-fluoroethane",151.3943832,375.15,hydrocarbon
"1,1,2-trichloro-2-methylpropane",161.45768,417.65,hydrocarbon
"1,1,2-trichlorobutane",161.45768,420,hydrocarbon
"1,1,2-trichloroethane",133.40392,387,hydrocarbon
"1,1,2-trichloropropane",147.4308,405.15,hydrocarbon
"1,1,2-trifluoro-2-methylpropane",112.0947896,285.06,hydrocarbon
"1,1,2-trifluorobutane",112.0947896,287.85,hydrocarbon
"1,1,2-trifluoroethane",84.0410296,278.15,hydrocarbon
